研修プログラムコード,コース番号,コマ記号,表示順,所要時間,タイトル,説明
gen,03,B4,7,1.0,生成AIによる社内対応応用②,全社会議・株主総会の運営マニュアル下書き
gen,03,B5,8,1.0,生成AIによる社内対応総合演習,ここまでの成果物を統合し、自身の業務を題材とした社内対応の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,03,C1,9,1.5,総務ルーチンの生成AIテンプレート作成,年間行事の案内文テンプレ集 / 契約更新・行事準備チェックリスト
gen,03,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,03,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,03,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,03,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,04,B0,1,0.5,人事職(採用)業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,04,B11,2,0.5,生成AIによる採用文書作成・基礎,媒体別求人票の作成
gen,04,B12,3,1.0,生成AIによる採用文書作成・実践,スカウトメール / 応募者への合否・日程調整メール
gen,04,B21,4,0.5,生成AIによる応募データ整理・基礎,応募者情報の一覧化
gen,04,B22,5,0.5,生成AIによる応募データ整理・実践,選考ステータス集計 / 媒体別応募数の分析
gen,04,B3,6,1.0,生成AIによる選考設計応用①,職種別の面接質問設計 / 面接メモの評価シート整形
gen,04,B4,7,1.0,生成AIによる選考設計応用②,採用ページの文章改善
gen,04,B5,8,1.0,生成AIによる選考設計総合演習,ここまでの成果物を統合し、自身の業務を題材とした選考設計の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,04,C1,9,1.5,採用フローの生成AIテンプレート作成,選考段階別メールテンプレ集 / 面接評価の観点チェックリスト
gen,04,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,04,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,04,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,04,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,05,B0,1,0.5,人事職(教育・評価)業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,05,B11,2,0.5,生成AIによる育成文書作成・基礎,研修案内文
gen,05,B12,3,1.0,生成AIによる育成文書作成・実践,評価フィードバック面談の準備メモ / 目標設定の記入例文
gen,05,B21,4,0.5,生成AIによる育成データ整理・基礎,研修アンケートの集計・自由記述の分類
gen,05,B22,5,0.5,生成AIによる育成データ整理・実践,評価データの部署別傾向整理
gen,05,B3,6,1.0,生成AIによる育成企画応用①,階層別研修計画の骨子作成
gen,05,B4,7,1.0,生成AIによる育成企画応用②,評価者向けガイド文書の下書き
gen,05,B5,8,1.0,生成AIによる育成企画総合演習,ここまでの成果物を統合し、自身の業務を題材とした育成企画の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,05,C1,9,1.5,育成業務の生成AIテンプレート作成,面談準備テンプレート / 研修振り返りフォーマット
gen,05,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,05,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,05,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,05,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,06,B0,1,0.5,労務職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,06,B11,2,0.5,生成AIによる労務文書作成・基礎,入退社手続き案内文
gen,06,B12,3,1.0,生成AIによる労務文書作成・実践,休職・復職に関する通知文 / 届出関連の社内説明文
gen,06,B21,4,0.5,生成AIによる勤怠データ整理・基礎,勤怠CSVの集計・残業時間の異常検知
gen,06,B22,5,0.5,生成AIによる勤怠データ整理・実践,有給取得状況の一覧化
gen,06,B3,6,1.0,生成AIによる労務対応応用①,就業規則の照会対応(条文検索→回答下書き)
gen,06,B4,7,1.0,生成AIによる労務対応応用②,労務相談の記録整理
gen,06,B5,8,1.0,生成AIによる労務対応総合演習,ここまでの成果物を統合し、自身の業務を題材とした労務対応の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,06,C1,9,1.5,労務ルーチンの生成AIテンプレート作成,入退社手続きチェックリスト / 月次勤怠締めテンプレート
gen,06,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,06,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,06,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,06,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,07,B0,1,0.5,一般事務職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,07,B11,2,0.5,生成AIによる事務文書作成・基礎,社内外メール・送付状
gen,07,B12,3,1.0,生成AIによる事務文書作成・実践,会議録音の文字起こし→議事録整形 / 回覧文書
gen,07,B21,4,0.5,生成AIによる事務データ整理・基礎,名簿・受発注リストの整形と集計
gen,07,B22,5,0.5,生成AIによる事務データ整理・実践,重複・表記ゆれの一括修正
gen,07,B3,6,1.0,生成AIによる業務整備応用①,電話メモ→対応履歴の整形
gen,07,B4,7,1.0,生成AIによる業務整備応用②,マニュアルのない業務の手順書化
gen,07,B5,8,1.0,生成AIによる業務整備総合演習,ここまでの成果物を統合し、自身の業務を題材とした業務整備の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,07,C1,9,1.5,定型業務の生成AIテンプレート作成,定型メール集 / 議事録生成テンプレート / 月次集計テンプレート
gen,07,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,07,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,07,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,07,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,08,B0,1,0.5,営業事務職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,08,B11,2,0.5,生成AIによる受発注文書作成・基礎,見積書・注文請書の作成補助
gen,08,B12,3,1.0,生成AIによる受発注文書作成・実践,納期回答メール / 営業担当への引き継ぎメモ
gen,08,B21,4,0.5,生成AIによる受注データ整理・基礎,受注データの担当別・商品別集計
gen,08,B22,5,0.5,生成AIによる受注データ整理・実践,納期遅延案件の抽出
gen,08,B3,6,1.0,生成AIによる顧客対応応用①,見積根拠の説明文書
gen,08,B4,7,1.0,生成AIによる顧客対応応用②,仕様問い合わせ対応の下書き
gen,08,B5,8,1.0,生成AIによる顧客対応総合演習,ここまでの成果物を統合し、自身の業務を題材とした顧客対応の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,08,C1,9,1.5,受注処理の生成AIテンプレート作成,見積作成チェックリスト / 受注処理フローのテンプレート化
gen,08,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,08,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,08,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,08,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,09,B0,1,0.5,貿易事務職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,09,B11,2,0.5,生成AIによる貿易文書作成・基礎,英文メール(船積案内・書類送付・納期調整)
gen,09,B12,3,1.0,生成AIによる貿易文書作成・実践,インボイス・パッキングリストの記載チェック
gen,09,B21,4,0.5,生成AIによる船積データ整理・基礎,船積スケジュールの一覧化
gen,09,B22,5,0.5,生成AIによる船積データ整理・実践,通関書類の必要項目照合
gen,09,B3,6,1.0,生成AIによる貿易対応応用①,英文契約条件の要点整理(和訳・比較)
gen,09,B4,7,1.0,生成AIによる貿易対応応用②,フォワーダーへの見積依頼文
gen,09,B5,8,1.0,生成AIによる貿易対応総合演習,ここまでの成果物を統合し、自身の業務を題材とした貿易対応の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,09,C1,9,1.5,貿易業務の生成AIテンプレート作成,英文メールテンプレ集 / 出荷書類チェックリスト
gen,09,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,09,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,09,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,09,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,10,B0,1,0.5,調達・購買職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,10,B11,2,0.5,生成AIによる購買文書作成・基礎,見積依頼(RFQ)文書
gen,10,B12,3,1.0,生成AIによる購買文書作成・実践,価格交渉メール / 発注書送付状
gen,10,B21,4,0.5,生成AIによる仕入データ整理・基礎,相見積の比較表作成
gen,10,B22,5,0.5,生成AIによる仕入データ整理・実践,仕入価格の推移集計 / 発注リードタイム一覧
gen,10,B3,6,1.0,生成AIによる調達戦略応用①,代替サプライヤーのリサーチ
gen,10,B4,7,1.0,生成AIによる調達戦略応用②,価格改定要請への回答方針整理
gen,10,B5,8,1.0,生成AIによる調達戦略総合演習,ここまでの成果物を統合し、自身の業務を題材とした調達戦略の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,10,C1,9,1.5,購買業務の生成AIテンプレート作成,RFQテンプレ / 発注前チェックリスト
gen,10,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,10,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,10,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,10,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,11,B0,1,0.5,秘書・役員アシスタント職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,11,B11,2,0.5,生成AIによる調整文書作成・基礎,社内外の日程調整メール(複数候補提示)
gen,11,B12,3,1.0,生成AIによる調整文書作成・実践,出張手配の依頼文 / 来客案内状
gen,11,B21,4,0.5,生成AIによる手配データ整理・基礎,出張の交通・宿泊比較表
gen,11,B22,5,0.5,生成AIによる手配データ整理・実践,会議資料の要約 / 経費仮払いの整理
gen,11,B3,6,1.0,生成AIによる役員支援応用①,会食店選定リサーチと候補提案書
gen,11,B4,7,1.0,生成AIによる役員支援応用②,スピーチ原稿の下書き補助
gen,11,B5,8,1.0,生成AIによる役員支援総合演習,ここまでの成果物を統合し、自身の業務を題材とした役員支援の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,11,C1,9,1.5,秘書業務の生成AIテンプレート作成,日程調整テンプレ / 出張手配チェックリスト
gen,11,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,11,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,11,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,11,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,12,B0,1,0.5,法務・契約事務職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,12,B11,2,0.5,生成AIによる契約関連文書作成・基礎,契約締結依頼への社内回答文
gen,12,B12,3,1.0,生成AIによる契約関連文書作成・実践,押印・電子契約の案内文
gen,12,B21,4,0.5,生成AIによる契約データ整理・基礎,自社雛形と先方案の条文差分整理
gen,12,B22,5,0.5,生成AIによる契約データ整理・実践,契約台帳の期限管理
gen,12,B3,6,1.0,生成AIによる契約審査応用①,契約リスク論点の洗い出し(専門家相談前の整理)
gen,12,B4,7,1.0,生成AIによる契約審査応用②,NDAレビュー前チェック
gen,12,B5,8,1.0,生成AIによる契約審査総合演習,ここまでの成果物を統合し、自身の業務を題材とした契約審査の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,12,C1,9,1.5,契約業務の生成AIテンプレート作成,契約審査の観点チェックリスト / 台帳更新テンプレート
gen,12,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,12,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,12,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,12,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,13,B0,1,0.5,法人営業職(新規開拓)業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,13,B11,2,0.5,生成AIによる営業文書作成・基礎,アポ獲得メール・レター
gen,13,B12,3,1.0,生成AIによる営業文書作成・実践,提案書の構成案と本文 / 商談後お礼メール
gen,13,B21,4,0.5,生成AIによる商談データ整理・基礎,ターゲット企業リストの整備
gen,13,B22,5,0.5,生成AIによる商談データ整理・実践,商談議事録→次アクション抽出
gen,13,B3,6,1.0,生成AIによる提案力応用①,顧客業界の動向リサーチ→提案への反映
gen,13,B4,7,1.0,生成AIによる提案力応用②,失注理由の分析と切り返し整理
gen,13,B5,8,1.0,生成AIによる提案力総合演習,ここまでの成果物を統合し、自身の業務を題材とした提案力の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,13,C1,9,1.5,営業活動の生成AIテンプレート作成,商談前リサーチテンプレート / 提案書骨子テンプレ / フォローメール集
gen,13,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,13,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,13,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,13,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,14,B0,1,0.5,ルート営業職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,14,B11,2,0.5,生成AIによる訪問文書作成・基礎,定期訪問の報告書
gen,14,B12,3,1.0,生成AIによる訪問文書作成・実践,新商品案内文 / 価格改定の説明文書
gen,14,B21,4,0.5,生成AIによる顧客データ整理・基礎,顧客別売上推移の集計
gen,14,B22,5,0.5,生成AIによる顧客データ整理・実践,訪問頻度と売上の関係整理 / 欠品・クレーム履歴の一覧化
gen,14,B3,6,1.0,生成AIによる深耕提案応用①,購買履歴からの顧客別提案ネタ出し
gen,14,B4,7,1.0,生成AIによる深耕提案応用②,休眠顧客への再アプローチ文
gen,14,B5,8,1.0,生成AIによる深耕提案総合演習,ここまでの成果物を統合し、自身の業務を題材とした深耕提案の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,14,C1,9,1.5,巡回業務の生成AIテンプレート作成,訪問報告テンプレ / 月次顧客レビューテンプレート
gen,14,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,14,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,14,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,14,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,15,B0,1,0.5,インサイドセールス職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,15,B11,2,0.5,生成AIによる架電・メール文書作成・基礎,業界別架電スクリプト
gen,15,B12,3,1.0,生成AIによる架電・メール文書作成・実践,メール・フォーム営業文面 / 資料送付後の追客メール
gen,15,B21,4,0.5,生成AIによるリードデータ整理・基礎,リード情報の整理とスコアリング項目設計
gen,15,B22,5,0.5,生成AIによるリードデータ整理・実践,架電結果の集計
gen,15,B3,6,1.0,生成AIによるトーク改善応用①,断り文句別の切り返し集作成
gen,15,B4,7,1.0,生成AIによるトーク改善応用②,文面ABテストの生成と検証設計
gen,15,B5,8,1.0,生成AIによるトーク改善総合演習,ここまでの成果物を統合し、自身の業務を題材としたトーク改善の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,15,C1,9,1.5,追客の生成AIテンプレート作成,架電前リサーチテンプレート / 追客メールシーケンス
gen,15,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,15,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,15,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,15,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,16,B0,1,0.5,カスタマーサクセス職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,16,B11,2,0.5,生成AIによる顧客支援文書作成・基礎,オンボーディング案内文
gen,16,B12,3,1.0,生成AIによる顧客支援文書作成・実践,活用提案メール / 解約希望への対応文
gen,16,B21,4,0.5,生成AIによる利用データ整理・基礎,利用状況からの解約リスク顧客抽出
gen,16,B22,5,0.5,生成AIによる利用データ整理・実践,問い合わせ傾向の分類
gen,16,B3,6,1.0,生成AIによる顧客支援応用①,顧客別ヘルスチェックレポート作成
gen,16,B4,7,1.0,生成AIによる顧客支援応用②,活用事例記事の下書き
