研修プログラムコード,職種カテゴリコード,コース番号,職種名,目的,表示順
gen,A,11,秘書・役員アシスタント職,①秘書・役員アシスタント職に従事する従業員(雇用契約書上の職務が該当する方)が、②調整文書作成・手配データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる調整文書作成・手配データ整理・役員支援、秘書業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,11
gen,A,12,法務・契約事務職,"①法務・契約事務職に従事する従業員(雇用契約書上の職務が該当する方)が、②契約関連文書作成・契約データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる契約関連文書作成・契約データ整理・契約審査、契約業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。
※本コースにおける生成AIの活用は文書作成・情報整理の補助であり、専門的判断は有資格者・担当者が行います。",12
gen,B,13,法人営業職(新規開拓),①法人営業職(新規開拓)に従事する従業員(雇用契約書上の職務が該当する方)が、②営業文書作成・商談データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる営業文書作成・商談データ整理・提案力、営業活動の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,13
gen,B,14,ルート営業職,①ルート営業職に従事する従業員(雇用契約書上の職務が該当する方)が、②訪問文書作成・顧客データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる訪問文書作成・顧客データ整理・深耕提案、巡回業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,14
gen,B,15,インサイドセールス職,①インサイドセールス職に従事する従業員(雇用契約書上の職務が該当する方)が、②架電・メール文書作成・リードデータ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる架電・メール文書作成・リードデータ整理・トーク改善、追客の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,15
gen,B,16,カスタマーサクセス職,①カスタマーサクセス職に従事する従業員(雇用契約書上の職務が該当する方)が、②顧客支援文書作成・利用データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる顧客支援文書作成・利用データ整理・顧客支援、CS業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,16
gen,B,17,販売営業職(店舗販売),①販売営業職(店舗販売)に従事する従業員(雇用契約書上の職務が該当する方)が、②店頭文書作成・売上データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる店頭文書作成・売上データ整理・接客・売場、店舗業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,17
gen,B,18,不動産売買営業職,①不動産売買営業職に従事する従業員(雇用契約書上の職務が該当する方)が、②物件文書作成・相場データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる物件文書作成・相場データ整理・提案資料、売買営業の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,18
gen,B,19,不動産賃貸営業・管理職,①不動産賃貸営業・管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②賃貸文書作成・物件データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる賃貸文書作成・物件データ整理・空室対策、管理業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,19
gen,B,20,住宅・リフォーム営業職,①住宅・リフォーム営業職に従事する従業員(雇用契約書上の職務が該当する方)が、②提案文書作成・見積データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる提案文書作成・見積データ整理・受注促進、営業プロセスの生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,20
gen,B,21,保険営業職,"①保険営業職に従事する従業員(雇用契約書上の職務が該当する方)が、②顧客文書作成・顧客データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる顧客文書作成・顧客データ整理・提案準備、面談の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。
※本コースにおける生成AIの活用は文書作成・情報整理の補助であり、専門的判断は有資格者・担当者が行います。",21
gen,B,22,自動車販売営業職,①自動車販売営業職に従事する従業員(雇用契約書上の職務が該当する方)が、②販売文書作成・顧客データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる販売文書作成・顧客データ整理・販売促進、顧客接点の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,22
gen,C,23,マーケティング職,①マーケティング職に従事する従業員(雇用契約書上の職務が該当する方)が、②広告文書作成・計測データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる広告文書作成・計測データ整理・戦略立案、施策運用の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,23
gen,C,24,SNS運用職,①SNS運用職に従事する従業員(雇用契約書上の職務が該当する方)が、②投稿文作成・投稿データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる投稿文作成・投稿データ整理・運用設計、運用の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,24
gen,C,25,広報・PR職,①広報・PR職に従事する従業員(雇用契約書上の職務が該当する方)が、②広報文書作成・掲載データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる広報文書作成・掲載データ整理・広報戦略、広報業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,25
gen,C,26,ライター・編集職,①ライター・編集職に従事する従業員(雇用契約書上の職務が該当する方)が、②記事作成・編集データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる記事作成・編集データ整理・編集、執筆の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,26
gen,C,27,Webデザイナー職,①Webデザイナー職に従事する従業員(雇用契約書上の職務が該当する方)が、②制作関連文書作成・進行データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる制作関連文書作成・進行データ整理・制作、制作進行の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,27
gen,C,28,グラフィックデザイナー職,①グラフィックデザイナー職に従事する従業員(雇用契約書上の職務が該当する方)が、②制作文書作成・入稿データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる制作文書作成・入稿データ整理・企画制作、制作の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,28
gen,C,29,動画制作職,①動画制作職に従事する従業員(雇用契約書上の職務が該当する方)が、②台本作成・素材データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる台本作成・素材データ整理・編集企画、制作の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,29
gen,C,30,EC運営職,①EC運営職に従事する従業員(雇用契約書上の職務が該当する方)が、②商品ページ作成・販売データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる商品ページ作成・販売データ整理・販促企画、運営の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,30
gen,D,31,介護職(入所施設),①介護職(入所施設)に従事する従業員(雇用契約書上の職務が該当する方)が、②介護記録作成・記録データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる介護記録作成・記録データ整理・ケア記録、記録業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,31
gen,D,32,介護職(通所・デイサービス),①介護職(通所・デイサービス)に従事する従業員(雇用契約書上の職務が該当する方)が、②連絡文書作成・利用データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる連絡文書作成・利用データ整理・プログラム、通所業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,32
gen,D,33,訪問介護職,①訪問介護職に従事する従業員(雇用契約書上の職務が該当する方)が、②訪問記録作成・訪問データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる訪問記録作成・訪問データ整理・連携、訪問業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,33
gen,D,34,ケアマネジャー職,"①ケアマネジャー職に従事する従業員(雇用契約書上の職務が該当する方)が、②計画文書作成・支援データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる計画文書作成・支援データ整理・アセスメント、ケアマネ業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。
※本コースにおける生成AIの活用は文書作成・情報整理の補助であり、専門的判断は有資格者・担当者が行います。",34
gen,D,35,生活支援員(障害福祉),①生活支援員(障害福祉)に従事する従業員(雇用契約書上の職務が該当する方)が、②支援記録作成・支援データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる支援記録作成・支援データ整理・計画・会議、支援業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,35
gen,D,36,児童指導員(放課後等デイサービス),①児童指導員(放課後等デイサービス)に従事する従業員(雇用契約書上の職務が該当する方)が、②報告文書作成・活動データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる報告文書作成・活動データ整理・療育企画、療育業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,36
gen,D,37,保育士職,①保育士職に従事する従業員(雇用契約書上の職務が該当する方)が、②保育文書作成・計画データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる保育文書作成・計画データ整理・園務、保育業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,37
gen,D,38,医療事務職,"①医療事務職に従事する従業員(雇用契約書上の職務が該当する方)が、②患者案内文書作成・受付データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる患者案内文書作成・受付データ整理・院内広報、受付業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。
※本コースにおける生成AIの活用は文書作成・情報整理の補助であり、専門的判断は有資格者・担当者が行います。",38
gen,D,39,歯科受付・助手職,①歯科受付・助手職に従事する従業員(雇用契約書上の職務が該当する方)が、②患者連絡文作成・予約データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる患者連絡文作成・予約データ整理・医院運営、受付業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,39
gen,D,40,看護職(外来・クリニック),"①看護職(外来・クリニック)に従事する従業員(雇用契約書上の職務が該当する方)が、②看護文書作成・外来データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる看護文書作成・外来データ整理・院内整備、記録業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。
※本コースにおける生成AIの活用は文書作成・情報整理の補助であり、専門的判断は有資格者・担当者が行います。",40
gen,E,41,生産管理職,①生産管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②生産文書作成・生産データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる生産文書作成・生産データ整理・計画改善、生産管理の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,41
gen,E,42,品質管理職,①品質管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②品質文書作成・検査データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる品質文書作成・検査データ整理・原因分析、品質業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,42
gen,E,43,製造リーダー・班長職,①製造リーダー・班長職に従事する従業員(雇用契約書上の職務が該当する方)が、②現場文書作成・現場データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる現場文書作成・現場データ整理・技能伝承、現場管理の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,43
gen,E,44,物流・倉庫管理職,①物流・倉庫管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②物流文書作成・物流データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる物流文書作成・物流データ整理・庫内改善、物流業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,44
gen,E,45,ドライバー・配車管理職,①ドライバー・配車管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②運行文書作成・運行データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる運行文書作成・運行データ整理・運行改善、運行管理の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,45
gen,E,46,施工管理職,①施工管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②工事文書作成・工程データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる工事文書作成・工程データ整理・現場運営、施工管理の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,46
gen,E,47,設備保守職,①設備保守職に従事する従業員(雇用契約書上の職務が該当する方)が、②保守文書作成・保守データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる保守文書作成・保守データ整理・保全計画、保守業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,47
gen,E,48,電気・空調工事職,①電気・空調工事職に従事する従業員(雇用契約書上の職務が該当する方)が、②工事文書作成・工事データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる工事文書作成・工事データ整理・施工品質、工事業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,48
gen,E,49,農業生産管理職,①農業生産管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②農場文書作成・栽培データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる農場文書作成・栽培データ整理・営農計画、営農業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,49
gen,E,50,造園・外構職,①造園・外構職に従事する従業員(雇用契約書上の職務が該当する方)が、②提案文書作成・顧客データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる提案文書作成・顧客データ整理・提案、受注業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,50
gen,F,51,飲食店舗運営職(店長),①飲食店舗運営職(店長)に従事する従業員(雇用契約書上の職務が該当する方)が、②店舗文書作成・店舗データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる店舗文書作成・店舗データ整理・店舗運営、店長業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,51
gen,F,52,調理・キッチン管理職,①調理・キッチン管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②厨房文書作成・原価データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる厨房文書作成・原価データ整理・メニュー開発、厨房業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,52
gen,F,53,宿泊フロント職,①宿泊フロント職に従事する従業員(雇用契約書上の職務が該当する方)が、②宿泊文書作成・予約データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる宿泊文書作成・予約データ整理・おもてなし、フロント業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,53
gen,F,54,美容師・サロン運営職,①美容師・サロン運営職に従事する従業員(雇用契約書上の職務が該当する方)が、②顧客文書作成・カルテデータ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる顧客文書作成・カルテデータ整理・集客、サロン業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,54
gen,F,55,エステ・リラクゼーション職,"①エステ・リラクゼーション職に従事する従業員(雇用契約書上の職務が該当する方)が、②接客文書作成・顧客データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる接客文書作成・顧客データ整理・提案、接客業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。
※本コースにおける生成AIの活用は文書作成・情報整理の補助であり、専門的判断は有資格者・担当者が行います。",55
gen,F,56,コールセンター・CS職,①コールセンター・CS職に従事する従業員(雇用契約書上の職務が該当する方)が、②応対文書作成・応対データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる応対文書作成・応対データ整理・品質改善、応対業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,56
gen,F,57,フィットネストレーナー職,①フィットネストレーナー職に従事する従業員(雇用契約書上の職務が該当する方)が、②会員文書作成・会員データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる会員文書作成・会員データ整理・指導準備、会員対応の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,57
gen,F,58,葬祭ディレクター職,①葬祭ディレクター職に従事する従業員(雇用契約書上の職務が該当する方)が、②施行文書作成・施行データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる施行文書作成・施行データ整理・相談・フォロー、施行業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,58
gen,G,59,税理士補助職,①税理士補助職に従事する従業員(雇用契約書上の職務が該当する方)が、②顧問先文書作成・会計データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる顧問先文書作成・会計データ整理・顧問業務、事務所業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,59
gen,G,60,社労士補助職,①社労士補助職に従事する従業員(雇用契約書上の職務が該当する方)が、②手続き文書作成・手続きデータ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる手続き文書作成・手続きデータ整理・顧問支援、事務所業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,60
gen,G,61,司法書士・行政書士補助職,①司法書士・行政書士補助職に従事する従業員(雇用契約書上の職務が該当する方)が、②依頼者文書作成・案件データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる依頼者文書作成・案件データ整理・調査、事務所業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,61
gen,G,62,社内SE・情報システム職,①社内SE・情報システム職に従事する従業員(雇用契約書上の職務が該当する方)が、②IT文書作成・運用データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによるIT文書作成・運用データ整理・運用改善、運用業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,62
gen,G,63,Webエンジニア職,①Webエンジニア職に従事する従業員(雇用契約書上の職務が該当する方)が、②開発文書作成・開発データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる開発文書作成・開発データ整理・開発、開発業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,63
